20;combo1: Hamburguesa Mexicana + Coca cola + papas francesas porcion individual;15000
20;combo1: Hamburguesa Mexicana + Pepsi + papas francesas porcion individual;15000
20;combo1: Hamburguesa Mexicana + Colombiana + papas francesas porcion individual;15000
20;combo1: Hamburguesa Mexicana + Agua natural + papas francesas porcion individual;15000
20;combo1: Hamburguesa Ranchera + Coca cola + papas francesas porcion individual;14000
20;combo1: Hamburguesa Ranchera + Pepsi + papas francesas porcion individual;14000
20;combo1: Hamburguesa Ranchera + Colombiana + papas francesas porcion individual;14000
20;combo1: Hamburguesa Ranchera + Agua natural + papas francesas porcion individual;14000
20;combo1: Hamburguesa Pollo + Coca cola + papas francesas porcion individual;13000
20;combo1: Hamburguesa Pollo + Pepsi + papas francesas porcion individual;13000
20;combo1: Hamburguesa Pollo + Colombiana + papas francesas porcion individual;13000
20;combo1: Hamburguesa Pollo + Agua natural + papas francesas porcion individual;13000
20;combo1: Hamburguesa Carne + Coca cola + papas francesas porcion individual;12000
20;combo1: Hamburguesa Carne + Pepsi + papas francesas porcion individual;12000
20;combo1: Hamburguesa Carne + Colombiana + papas francesas porcion individual;12000
20;combo1: Hamburguesa Carne + Agua natural + papas francesas porcion individual;12000
